position,guid,name,steamid
10,FF011000013CD64778,Greg the Legend,76561198980941688
11,FF011000011AF867CD,GAr | TRY HARD,76561198412752845
12,FF0110000102A1258D,Crapouette91 | MX911,76561198004381069
13,FF0110000141B40079,Hemi | Start Your Systems,76561199062581369
14,FF0110000113BCBAF6,Lucas Aredes | Try Hard,76561198291401462
15,FF011000010687E9AA,Krokette | KDR x KMX DECALS,76561198069836202
16,FF0110000114F8E9D2,that guy,76561198312122834
17,FF011000014222E32B,Dairy Berry,76561199069848363
18,FF0110000109A8593E,Dad Shoes | DDC,76561198122293566
19,FF01100001025886B6,jesus,76561197999621814
20,FF01100001431D6BDE,FF01100001431D6BDE,76561199086267358
21,FF011000014120C623,ElBeePee_ | Frosted Paint Co,76561199052932643
22,FF0110000112983FB4,Jack | McCreations,76561198272233396
23,FF01100001337CB1C7,PEPE SILVIA,76561198824075719
24,FF0110000105ABD236,tyrm88,76561198055412278
25,FF011000010A374862,Bordim | TH Monster Energy,76561198131660898
26,FF011000010C57EBA0,LastFriday,76561198167354272
27,FF0110000108F98816,tPatt244,76561198110836758
28,FF011000011C29A59E,Feitosa,76561198432757150
29,FF011000010B78CC27,Ezra | NMR x Solitude Visuals,76561198152731687
30,FF011000010D4A3691,Reevesy | Solitude Visuals ND,76561198183233169
31,FF0110000116D084BE,Sven,76561198343029950
32,FF01100001418853AD,Braydo | Blitz Co. x Bennetton,76561199059719085
33,FF011000013F8A258D,MOTO,76561199026283917
34,FF0110000132FD1A08,McCracken | MotoMart,76561198815713800
35,FF011000010EFF6DFD,Millerito,76561198211886589
36,FF0110000146409FF4,Colton97351,76561199138906100
37,FF011000014543E805,Washed | TGR x RD,76561199122343941
38,FF0110000103B2B5B3,Meattugger,76561198022309299
39,FF01100001453FA218,Cumski,76561199122063896
40,FF01100001188E7F95,JORDO | Ex Crew,76561198372257685
41,FF0110000142DB907C,Dyax | ATLAS x PPFS,76561199081951356
42,FF011000013D253084,cast | TGR,76561198986113156
43,FF01100001172B3427,Mason,76561198348973095
44,FF01100001478AC12C,Ginger Ninja | Solitude Visuals,76561199160541484
45,2833863A,Unknown,
45,FF011000010E0D8186,tortuga timmy,76561198196031878
46,FF011000010AC46765,Vinibesen,76561198140909413
47,FF011000010FF2C92C,TT_947,76561198227835180
48,FF01100001053DB64C,BubuuM | Team FGC,76561198048196172
49,FF011000010AAD44BC,McManus,76561198139393212
50,FF0110000105E1D834,Logn341 | FCrew,76561198058952756
51,FF0110000116328DE2,Mount4inDr3w | Blitz Co.,76561198332677602
52,FF0110000108A9FA6D,Carlo PELLE | LMC x BYD,76561198105623149
53,FF011000013E36E08C,GALLOT | Team GLM,76561199004049548
54,FF0110000112975A26,Rhys | DDC,76561198272174630
55,FF01100001140D0E7C,Axel Chotin | 200% Motors,76561198296665724
56,FF011000013EB2C721,Rum | DDC,76561199012169505
57,FF011000011505D543,topshu | THMX_CO,76561198312969539
58,FF011000013CC986C7,CatastrophicFailure,76561198980105927
59,FF0110000145953C54,Bobby Shmerked | TGR,76561199127673940
60,FF011000014B5FDD9E,Camel,76561199224839582
61,FF01100001026B4D3C,Zack Dupuis | SYS,76561198000852284
63,FF011000011996F4FB,Kyber,76561198389589243
64,FF011000013BF00FD6,johnathands1,76561198965854166
65,FF01100001403EA84F,Razzles126 | Stateline,76561199038113871
66,FF011000013C8E8153,Meta,76561198976237907
67,FF011000010BDF5A82,Peter Nutz,76561198159452802
68,FF0110000112E7DBFD,iNightFlash l WNTO Motorsports,76561198277450749
69,FF011000010C48225B,StoneRider | Aerial,76561198166319707
70,FF011000014B7E4EE9,JCampbell,76561199226834665
70,FF011000011742C65F,Nubular | MotoMart,76561198350517855
71,FF011000014149ECC0,Matheo | Mostra x Kenny,76561199055629504
72,FF0110000144673BF1,BigPork,76561199107881969
73,FF0110000103AA40A9,Tarmtango,76561198021755049
74,FF0110000146889D82,Izaac | Solitude Visuals X ND,76561199143624066
75,FF011000010B262B10,Zay | JSR,76561198147316496
76,FF011000010C44D209,Bilokao do Esmaga,76561198166102537
77,457786EA,Unknown,
77,FF01100001351A404D,soggy_pancakes1,76561198851178573
78,FF011000010BFCABAD,Raged | LSD,76561198161374125
79,FF0110000109E1672C,ARK,76561198126032684
79,FF0110000102FB0986,Medium | GOAT,76561198010272134
80,FF011000014564C3B5,Thibby l EBR Performance,76561199124497333
81,FF01100001439A939A,Dertien | Pinned Performance,76561199094469530
82,FF011000010D926766,Yorkz | Jack Daniels Racing,76561198187964262
